,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
1929,34510,5.62,Black Cat Detective,TV,5,1984,Shanghai Animation Film Studio,Original,18 min. per ep.,9377.0,12953,363,0,15,185,4,51,108,Action, Adventure, Comedy, Kids, Police,PG,1984-01-01,1984-12-01,1984,1984,335 days,0.8225844009693616,very_long
1713,31747,5.34,Bottom Biting Bug 4,TV,10,2015,Kinema Citrus,Music,5 min. per ep.,10063.0,12386,453,1,22,232,13,83,103,Comedy, Kids,,,,G,2015-10-05,2015-12-07,2015,2015,63 days,0.8028662032106034,short
1543,27687,5.27,Bottom Biting Bug 3,TV,10,2014,Kinema Citrus,Music,5 min. per ep.,10170.0,11879,550,0,30,287,17,82,134,Comedy, Kids,,,,G,2014-10-06,2014-12-08,2014,2014,63 days,0.7723560578465719,short
1377,19755,5.34,Bottom Biting Bug 2,TV,32,2013,Kinema Citrus,Music,5 min. per ep.,10081.0,11436,668,1,47,323,36,97,165,Comedy, Kids,,,,G,2013-09-30,2014-03-27,2013,2014,178 days,0.7363306849848222,very_long
1995,35302,6.21,Meow Meow Japanese History,TV,32,2017,Joker Films,Web manga,9 min. per ep.,7279.0,12283,475,2,38,150,18,66,203,Historical, Parody, Samurai,,,G,2017-04-05,2018-02-28,2017,2018,329 days,0.7335294023265894,very_long
783,3834,6.06,Starchild Chobin,TV,26,1974,Studio Zero,Original,21 min. per ep.,7978.0,12057,510,1,22,230,18,82,158,Sci-Fi, Adventure,,,,G,1974-04-05,1974-09-27,1974,1974,175 days,0.7284121768607013,long
1016,8130,5.89,Mighty Orbots,TV,13,1984,Tokyo Movie Shinsha,Original,23 min. per ep.,8562.0,11791,571,1,29,196,27,75,244,Sci-Fi, Adventure, Mecha,,,G,1984-09-08,1984-12-15,1984,1984,98 days,0.7219211114667535,long
997,7551,6.19,Goliath the Super Fighter,TV,36,1976,Tatsunoko Production,Original,25 min. per ep.,7403.0,11914,540,1,30,180,33,66,231,Action, Adventure, Sci-Fi,,,PG-13,1976-04-04,1976-12-29,1976,1976,269 days,0.709114157714177,very_long
910,5600,6.31,Adventures of Little El Cid,TV,26,1984,Nippon Animation,Original,25 min. per ep.,6843.0,11898,545,1,27,234,18,78,188,Kids, Adventure,,,,G,1984-02-06,1984-03-12,1984,1984,35 days,0.6994249385412297,short
712,3131,6.13,A Great Super Shot Boy,TV,47,1984,Tsuchida Productions,Manga,22 min. per ep.,7663.0,11628,611,1,22,290,14,101,184,Sports, Shounen,,,,G,1984-10-06,1985-09-27,1984,1985,356 days,0.6933677753444616,very_long
