,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
0,1,8.78,Cowboy Bebop,TV,26,1998,Sunrise,Original,24 min. per ep.,28.0,39,1251960,61971,105808,718161,71513,26678,329800,Action, Adventure, Drama, Sci-Fi, Space,R,1998-04-03,1999-04-24,1998,1999,386 days,-0.33527676469675416,very_long
1,6,8.24,Trigun,TV,26,1998,Madhouse,Manga,24 min. per ep.,266.0,201,558913,12944,29113,343492,25465,13925,146918,Action, Sci-Fi, Comedy, Drama, Shounen,PG-13,1998-04-01,1998-09-30,1998,1998,182 days,-0.2634117875111388,very_long
2,7,7.27,Witch Hunter Robin,TV,26,2002,Sunrise,Original,25 min. per ep.,2481.0,1467,94683,587,4300,46165,5121,5378,33719,Action, Mystery, Supernatural, Drama, Magic,PG-13,2002-07-02,2002-12-24,2002,2002,175 days,-0.09994649989630577,long
3,8,6.98,Beet the Vandel Buster,TV,52,2004,Toei Animation,Manga,23 min. per ep.,3710.0,4369,13224,18,642,7314,766,1108,3394,Adventure, Fantasy, Supernatural,,,PG,2004-09-30,2005-09-29,2004,2005,364 days,0.12426436554211523,very_long
4,16,8.06,Honey and Clover,TV,24,2005,J.C.Staff,Manga,23 min. per ep.,468.0,687,214499,4101,11909,81145,11901,11026,98518,Comedy, Drama, Romance, Slice of Life,,PG-13,2005-04-15,2005-09-27,2005,2005,165 days,-0.21255973774249398,long
5,19,8.76,Monster,TV,74,2004,Madhouse,Manga,24 min. per ep.,30.0,169,614100,29436,64648,214491,47488,23008,264465,Drama, Horror, Police, Psychological, Seinen,R+,2004-04-07,2005-09-28,2004,2005,539 days,-0.3101707553449116,very_long
6,20,7.91,Naruto,TV,220,2002,Studio Pierrot,Manga,23 min. per ep.,660.0,8,1830540,65586,137167,1462223,61734,99806,69610,Action, Adventure, Super Power, Martial Arts, Shounen,PG-13,2002-10-03,2007-02-08,2002,2007,1589 days,-0.2769446489451852,very_long
7,22,7.9,The Prince of Tennis,TV,178,2001,Trans Arts,Manga,22 min. per ep.,675.0,1039,141832,3124,11235,76881,12905,12516,28295,Action, Comedy, School, Shounen,,PG-13,2001-10-10,2005-03-23,2001,2005,1260 days,-0.17604413245637648,very_long
8,24,7.94,School Rumble,TV,26,2004,Studio Comet,Manga,23 min. per ep.,625.0,514,275464,5137,12277,157789,12856,13491,79051,Comedy, Romance, Shounen,,,PG-13,2004-10-05,2005-03-29,2004,2005,175 days,-0.21657162893666132,long
9,25,7.42,Desert Punk,TV,24,2004,Gonzo,Manga,24 min. per ep.,1844.0,1284,111734,790,6273,53819,6255,7951,37436,Action, Adventure, Ecchi, Sci-Fi, Shounen,R,2004-10-06,2005-03-30,2004,2005,175 days,-0.12356504560429118,long
10,26,7.76,Texhnolyze,TV,22,2003,Madhouse,Original,23 min. per ep.,896.0,823,182599,3671,11335,47532,9815,8112,105805,Action, Sci-Fi, Drama,,,R+,2003-04-17,2003-09-25,2003,2003,161 days,-0.18142049541933053,long
11,27,7.32,Trinity Blood,TV,24,2005,Gonzo,Light novel,24 min. per ep.,2240.0,936,158343,1479,7794,87958,8940,9349,44302,Action, Supernatural,,,,R,2005-04-29,2005-10-28,2005,2005,182 days,-0.1411061552231691,very_long
12,28,7.95,Yakitate!! Japan,TV,69,2004,Sunrise,Manga,24 min. per ep.,609.0,1666,80183,887,5007,39992,5764,4633,24787,Comedy, Shounen,,,,PG-13,2004-10-12,2006-03-14,2004,2006,518 days,-0.134698954307181,very_long
